Pan_Numbers,PAN_Number,PAN_status
VGLOD3180G,VGLOD3180G,Valid
PHOXD7232L,PHOXD7232L,Valid
MGEPH6532A,MGEPH6532A,Valid
JJCHK4574O,JJCHK4574O,Invalid
XTQIJ2330L,XTQIJ2330L,Invalid
HTJYM3835H,HTJYM3835H,Valid
YQTAP6661X,YQTAP6661X,Invalid
hvofe5635y,hvofe5635y,Invalid
hyuij7902r  ,hyuij7902r  ,Invalid
idsmt3429e,idsmt3429e,Invalid
abkjn5176j,abkjn5176j,Invalid
vuczu0860t,vuczu0860t,Invalid
hzvmg3577f,hzvmg3577f,Invalid
owuis0525p,owuis0525p,Invalid
ETVSQ2345L,ETVSQ2345L,Invalid
TWNGF1358L,TWNGF1358L,Valid
OUPMW5639M,OUPMW5639M,Valid
TLVFA0299E,TLVFA0299E,Invalid
DOURT5035Y. ,DOURT5035Y. ,Invalid
GAVCQ1260C,GAVCQ1260C,Valid
IMJQF4986W,IMJQF4986W,Valid
GZLLP1469G,GZLLP1469G,Invalid
POTPT8630S,POTPT8630S,Valid
HUAYW0019Y,HUAYW0019Y,Invalid
QHVER2630M,QHVER2630M,Valid
HJLWW1202H,HJLWW1202H,Invalid
XVRUI1629V,XVRUI1629V,Valid
ILFQO0021U,ILFQO0021U,Invalid
LSJNM0572P,LSJNM0572P,Valid
 ZPJQS1155M, ZPJQS1155M,Invalid
WTNAJ9786O,WTNAJ9786O,Valid
HBXPY3488F,HBXPY3488F,Invalid
ZYGGJ5220D,ZYGGJ5220D,Invalid
CTHJE1038M,CTHJE1038M,Valid
UGDNV0888G,UGDNV0888G,Invalid
GSIMQ8477H,GSIMQ8477H,Invalid
RHIZA5599M,RHIZA5599M,Invalid
ICOXY4724A,ICOXY4724A,Valid
YDGHG2508X,YDGHG2508X,Valid
ZUCJR5613V,ZUCJR5613V,Valid
ASOZR5830K,ASOZR5830K,Valid
DTXQU9632N,DTXQU9632N,Valid
VHAPT6722X,VHAPT6722X,Invalid
XIGVK4749W,XIGVK4749W,Valid
PDYRH8735L,PDYRH8735L,Valid
ODHTS3054R,ODHTS3054R,Valid
NFWLJ2916V,NFWLJ2916V,Valid
DCFFN2006D,DCFFN2006D,Invalid
WLBLJ9641H,WLBLJ9641H,Valid
OCFYK1585K,OCFYK1585K,Valid
FRTWB8937L,FRTWB8937L,Valid
XSIQM9902L,XSIQM9902L,Invalid
GUCRR9722V,GUCRR9722V,Invalid
GLEXQ1404U,GLEXQ1404U,Valid
WBOMB4910A,WBOMB4910A,Valid
GEBTC8006G,GEBTC8006G,Invalid
DDCSX8607G,DDCSX8607G,Invalid
OTCQL8325P,OTCQL8325P,Valid
FHKRS0641N,FHKRS0641N,Valid
IIPJY6124Q,IIPJY6124Q,Invalid
FKTZK9796G,FKTZK9796G,Valid
NWXWL4527P,NWXWL4527P,Valid
NTTBR7120X,NTTBR7120X,Invalid
TIYCW2107R,TIYCW2107R,Valid
HREMW8985Y,HREMW8985Y,Valid
BDQSE0123I,BDQSE0123I,Invalid
JLDQQ7867B,JLDQQ7867B,Invalid
VPNVU9439H,VPNVU9439H,Valid
KNKBS0569T,KNKBS0569T,Valid
KKWNA4909T,KKWNA4909T,Invalid
VHCVM8377R,VHCVM8377R,Invalid
FXKZB2755H,FXKZB2755H,Invalid
YKSGO1320L,YKSGO1320L,Valid
DBMHR2178D,DBMHR2178D,Valid
JAIHL3498D,JAIHL3498D,Valid
TLOEV0008P,TLOEV0008P,Invalid
XFZMC0139G,XFZMC0139G,Valid
JRLAC7603L,JRLAC7603L,Valid
ESVJO8549C,ESVJO8549C,Valid
JLDLY6209Z,JLDLY6209Z,Valid
MHGIW0773V,MHGIW0773V,Invalid
KQFHM2676D,KQFHM2676D,Valid
ERJDB0567P,ERJDB0567P,Valid
UEGWY5561Z,UEGWY5561Z,Invalid
NISYF3449V,NISYF3449V,Invalid
IAWFB9196M,IAWFB9196M,Valid
HIYFK7382M,HIYFK7382M,Valid
ABTCD3461G,ABTCD3461G,Valid
CBQNM7023W,CBQNM7023W,Valid
KYUKN9876O,KYUKN9876O,Valid
YFZCV1995O,YFZCV1995O,Invalid
INUIG0121O,INUIG0121O,Valid
RQIPK8606B,RQIPK8606B,Valid
DAYOS8535Y,DAYOS8535Y,Valid
PJOKF0275K,PJOKF0275K,Valid
UVKTW8544G,UVKTW8544G,Invalid
FMESO7919R,FMESO7919R,Valid
EKVHT4099O,EKVHT4099O,Invalid
